X	Y	Species	Type	Dbh	Height	vigorous	sawlog	YearsInfested	Growth	treeclass
27.7771	165.308	Western_Redcedar	Adult	99.9786	29.9437	1	0	5	8.7	2
110.889	110.76	Black_Cottonwood	Adult	99.9619	29.6812	0	0	4	5	4
148.694	156.207	Western_Hemlock	Adult	99.9454	29.9472	1	1	5	0.7	1
13.4583	51.9043	Western_Redcedar	Adult	99.7977	29.943	0	0	2	7.5	4
120.264	151.111	Trembling_Aspen	Adult	99.7946	28.9709	1	1	2	9.2	1
118.561	174.622	Lodgepole_Pine	Adult	99.7858	29.8928	0	0	3	3.5	4
189.648	194.086	Western_Redcedar	Adult	99.7717	29.943	0	1	1	11.9	3
40.5151	1.25732	Lodgepole_Pine	Adult	99.7537	29.8926	1	1	4	9.9	1
97.8333	126.642	Paper_Birch	Adult	99.7113	29.5651	0	1	4	10.3	3
139.819	14.624	Black_Cottonwood	Adult	99.7043	29.6775	0	0	1	2.5	4
56.8665	95.1294	Black_Cottonwood	Adult	99.6863	29.6772	1	1	1	3.2	1
87.5305	47.4609	Paper_Birch	Adult	99.6683	29.5643	1	0	4	3.6	2
156.14	99.6399	Hybrid_Spruce	Adult	99.6304	27.4634	1	0	1	5.4	2
74.5422	169.733	Subalpine_Fir	Adult	99.5303	29.1492	0	0	0	5.7	4
116.29	111.719	Western_Redcedar	Adult	99.509	29.942	0	1	1	23.9	3
55.8228	151.874	Western_Redcedar	Adult	99.4522	29.9418	1	1	4	7.7	1
32.373	102.222	Trembling_Aspen	Adult	99.4312	28.9584	0	0	5	1.5	4
162.292	155.798	Western_Hemlock	Adult	99.3744	29.9453	1	1	4	2	1
56.5552	92.5232	Western_Hemlock	Adult	99.3738	29.9453	1	1	2	0.6	1
103.717	79.126	Lodgepole_Pine	Adult	99.3433	29.8901	0	1	3	2.2	3
137.933	51.4038	Western_Hemlock	Adult	99.2041	29.9447	0	0	0	6.5	4
147.949	70.7886	Hybrid_Spruce	Adult	99.1867	27.4359	1	1	3	7	1
182.666	31.0364	Trembling_Aspen	Adult	99.1422	28.9483	0	1	5	7.1	3
194.989	173.077	Western_Hemlock	Adult	99.1153	29.9444	0	0	1	4.5	4
108.575	172.308	Paper_Birch	Adult	99.0091	29.5521	0	1	4	6.8	3
51.4587	190.485	Paper_Birch	Adult	99.0073	29.5521	1	1	2	10.1	1
61.1328	55.5969	Subalpine_Fir	Adult	98.9746	29.1323	0	1	0	7.2	3
20.3247	62.5305	Lodgepole_Pine	Adult	98.9093	29.8874	1	1	4	4.8	1
67.3279	71.0266	Paper_Birch	Adult	98.9053	29.5502	1	0	2	2.2	2
101.007	120.526	Paper_Birch	Adult	98.7943	29.5481	0	1	2	3.2	3
72.3999	198.157	Subalpine_Fir	Adult	98.6835	29.1234	0	0	0	1.6	4
18.6096	26.3794	Amabilis_Fir	Adult	98.6591	29.9428	0	1	0	3.3	3
198.602	116.766	Western_Redcedar	Adult	98.623	29.9387	0	0	0	0.9	4
169.226	99.9023	Black_Cottonwood	Adult	98.5852	29.6608	1	0	0	7.2	2
62.207	123.401	Hybrid_Spruce	Adult	98.5498	27.3958	1	0	0	3.7	2
112.366	47.6074	Black_Cottonwood	Adult	98.544	29.6602	0	1	3	2.8	3
11.438	125.458	Lodgepole_Pine	Adult	98.4561	29.8845	1	0	5	4.2	2
134.583	189.154	Lodgepole_Pine	Adult	98.3527	29.8838	0	0	4	10.1	4
52.4902	132.8	Western_Hemlock	Adult	98.1351	29.9408	1	1	1	1.4	1
150.787	71.405	Paper_Birch	Adult	98.0505	29.5337	1	0	5	3.5	2
65.6555	58.7036	Lodgepole_Pine	Adult	98.0389	29.8818	1	0	5	7.5	2
35.0037	137.585	Paper_Birch	Adult	97.9401	29.5316	1	0	5	5.5	2
52.4414	84.2346	Trembling_Aspen	Adult	97.9132	28.9043	1	1	0	6	1
187.897	129.346	Paper_Birch	Adult	97.7689	29.5282	0	1	0	8.3	3
135.48	100.342	Trembling_Aspen	Adult	97.7536	28.8985	0	1	4	1.9	3
123.578	48.6084	Black_Cottonwood	Adult	97.6428	29.6461	0	0	2	4.7	4
34.4666	48.0591	Western_Hemlock	Adult	97.6416	29.939	0	0	4	10.7	4
29.9377	188.239	Amabilis_Fir	Adult	97.6373	29.9389	0	0	0	11.2	4
138.745	82.5073	Amabilis_Fir	Adult	97.3776	29.9379	0	1	0	1.1	3
103.162	195.148	Lodgepole_Pine	Adult	97.3697	29.8772	0	1	4	12	3
22.8149	88.0066	Amabilis_Fir	Adult	97.3383	29.9378	0	0	0	10.1	4
30.0232	76.8066	Western_Redcedar	Adult	97.3242	29.9336	0	0	5	6.8	4
144	40.5273	Subalpine_Fir	Adult	97.226	29.077	0	1	0	10.7	3
112.128	18.8904	Amabilis_Fir	Adult	97.0715	29.9367	0	1	0	8.7	3
145.001	170.355	Western_Redcedar	Adult	97.0227	29.9323	0	1	1	10	3
125.885	69.3298	Trembling_Aspen	Adult	96.983	28.8698	0	0	2	6.6	4
135.468	157.434	Black_Cottonwood	Adult	96.9788	29.6354	0	0	3	0.1	4
137.292	127.087	Hybrid_Spruce	Adult	96.9315	27.2912	0	0	1	4	4
153.827	10.4553	Western_Hemlock	Adult	96.9293	29.9362	1	1	2	0.9	1
131.708	131.744	Lodgepole_Pine	Adult	96.8665	29.8737	0	0	0	12	4
129.767	188.483	Amabilis_Fir	Adult	96.8378	29.9358	1	0	0	11.1	2
123.291	22.9675	Subalpine_Fir	Adult	96.7673	29.062	0	0	0	6.9	4
94.3542	1.74561	Black_Cottonwood	Adult	96.7407	29.6315	1	1	5	1.8	1
85.7422	161.554	Black_Cottonwood	Adult	96.7279	29.6312	1	0	3	3.5	2
188.361	39.8315	Hybrid_Spruce	Adult	96.7001	27.276	0	1	5	5.7	3
119.891	173.175	Trembling_Aspen	Adult	96.6446	28.857	0	0	0	1	4
59.8633	30.4321	Black_Cottonwood	Adult	96.6269	29.6296	1	1	0	7.4	1
158.563	182.782	Western_Redcedar	Adult	96.626	29.9306	1	1	3	20.4	1
35.8521	56.4209	Paper_Birch	Adult	96.5445	29.5033	1	1	0	6.2	1
166.547	117.065	Black_Cottonwood	Adult	96.4426	29.6265	1	0	2	4.6	2
4.05273	197.821	Western_Hemlock	Adult	96.4136	29.9341	0	0	2	4.8	4
6.38428	65.4175	Subalpine_Fir	Adult	96.3052	29.0465	0	0	0	11.3	4
6.38428	50.6042	Subalpine_Fir	Adult	96.2695	29.0453	0	0	0	11.7	4
24.2249	180.219	Black_Cottonwood	Adult	96.264	29.6235	0	1	2	3.1	3
150.958	80.1636	Hybrid_Spruce	Adult	96.2463	27.2457	1	1	0	8.7	1
2.03247	196.851	Subalpine_Fir	Adult	96.2433	29.0444	0	0	0	1	4
148.651	126.868	Amabilis_Fir	Adult	96.1505	29.933	0	0	0	11.4	4
12.3108	102.35	Western_Redcedar	Adult	96.1136	29.9283	1	0	3	9.4	2
152.24	153.9	Black_Cottonwood	Adult	96.1096	29.6208	1	1	4	6.8	1
54.8645	114.319	Subalpine_Fir	Adult	96.1075	29.0398	0	1	0	9.3	3
34.0149	27.0752	Western_Hemlock	Adult	95.9747	29.9322	0	1	5	8.4	3
97.1191	138.763	Amabilis_Fir	Adult	95.9668	29.9322	0	0	0	0.8	4
84.1309	90.4968	Hybrid_Spruce	Adult	95.8945	27.222	1	0	5	7	2
77.6489	114.331	Paper_Birch	Adult	95.8426	29.4884	1	0	1	6.7	2
19.5801	106.049	Hybrid_Spruce	Adult	95.8258	27.2174	0	0	3	15	4
88.2751	176.111	Paper_Birch	Adult	95.7474	29.4864	1	0	4	9.2	2
89.032	169.348	Amabilis_Fir	Adult	95.7108	29.9311	0	0	0	4.2	4
81.543	50.0549	Paper_Birch	Adult	95.5505	29.4821	1	0	5	5.9	2
11.7126	146.68	Trembling_Aspen	Adult	95.4285	28.8097	0	0	2	2.3	4
55.9998	99.9207	Hybrid_Spruce	Adult	95.3912	27.1878	1	1	3	7.9	1
19.8853	77.2583	Lodgepole_Pine	Adult	95.2591	29.8618	0	0	0	10.2	4
52.6001	66.571	Paper_Birch	Adult	95.2139	29.4747	1	1	2	5	1
2.85645	84.259	Subalpine_Fir	Adult	95.1984	29.0085	0	0	0	1.9	4
47.998	93.4021	Western_Redcedar	Adult	95.1425	29.9239	1	1	5	7.2	1
78.0334	19.0735	Paper_Birch	Adult	95.1352	29.473	1	0	3	9.5	2
63.7329	145.361	Amabilis_Fir	Adult	95.1208	29.9285	0	0	0	10.5	4
52.356	58.5144	Trembling_Aspen	Adult	95.1074	28.7969	1	1	0	8.6	1
129.962	110.181	Western_Redcedar	Adult	95.0616	29.9235	0	0	3	24.6	4
198.737	50.6836	Western_Hemlock	Adult	94.9945	29.9279	0	1	3	9.6	3
72.467	28.1982	Trembling_Aspen	Adult	94.9786	28.7917	1	0	3	10.9	2
76.3367	190.967	Western_Hemlock	Adult	94.9612	29.9277	0	0	2	0.8	4
45.343	68.3472	Hybrid_Spruce	Adult	94.8392	27.1498	1	1	2	2.2	1
56.8359	42.0837	Western_Redcedar	Adult	94.7501	29.922	1	1	1	9.2	1
184.998	180.701	Hybrid_Spruce	Adult	94.5517	27.1298	0	1	4	2.3	3
7.03125	82.1716	Western_Redcedar	Adult	94.4907	29.9207	1	0	4	5.6	2
166.736	90.509	Subalpine_Fir	Adult	94.4617	28.9823	0	0	0	2.4	4
194.598	140.778	Subalpine_Fir	Adult	94.4516	28.982	0	1	0	2.7	3
178.192	8.5022	Lodgepole_Pine	Adult	94.3698	29.8548	0	1	2	2.9	3
87.7441	36.7249	Trembling_Aspen	Adult	94.2191	28.7607	1	0	3	9.3	2
104.382	122.729	Lodgepole_Pine	Adult	94.2108	29.8535	0	1	5	9.5	3
27.9297	111.902	Trembling_Aspen	Adult	94.1898	28.7595	1	0	0	9.5	2
188.58	182.727	Western_Hemlock	Adult	94.0863	29.9236	0	0	3	5.3	4
110.028	45.0562	Lodgepole_Pine	Adult	94.0613	29.8523	0	1	2	10.8	3
47.8149	42.8345	Western_Hemlock	Adult	94.0286	29.9234	1	1	2	9.7	1
195.99	177.252	Black_Cottonwood	Adult	93.9792	29.5827	0	0	1	5.8	4
139.502	23.2483	Subalpine_Fir	Adult	93.9572	28.964	0	0	0	4.3	4
73.0591	73.4619	Amabilis_Fir	Adult	93.7881	29.9222	0	0	0	4.1	4
33.7524	49.9756	Hybrid_Spruce	Adult	93.7857	27.0758	1	0	1	1	2
118.787	43.1885	Black_Cottonwood	Adult	93.6996	29.5774	0	0	5	10.7	4
113.257	199.048	Amabilis_Fir	Adult	93.6371	29.9214	0	1	0	0.1	3
21.5393	95.8557	Amabilis_Fir	Adult	93.6292	29.9214	0	1	0	4.3	3
110.51	14.1785	Lodgepole_Pine	Adult	93.4778	29.8473	0	1	2	5.9	3
169.94	123.12	Lodgepole_Pine	Adult	93.4375	29.847	1	1	5	5.5	1
37.8418	48.4497	Western_Hemlock	Adult	93.4204	29.9204	1	1	3	9.2	1
100.494	189.032	Lodgepole_Pine	Adult	93.3023	29.8458	1	1	0	8.6	1
183.337	143.231	Western_Hemlock	Adult	93.2443	29.9195	0	0	4	2.3	4
178.149	90.387	Trembling_Aspen	Adult	93.0936	28.7134	0	0	5	7.3	4
55.2368	144.653	Western_Redcedar	Adult	93.0603	29.9133	1	1	4	10	1
125.69	69.9341	Lodgepole_Pine	Adult	93.0127	29.8433	0	0	3	4.2	4
148.267	182.318	Amabilis_Fir	Adult	92.9678	29.9181	1	0	0	4.7	2
70.4346	49.1577	Trembling_Aspen	Adult	92.9312	28.7064	1	0	1	10	2
0.396729	176.636	Paper_Birch	Adult	92.9282	29.4218	0	1	1	7.6	3
9.48486	87.2803	Western_Redcedar	Adult	92.8543	29.9122	1	0	4	8.3	2
59.6191	31.8787	Hybrid_Spruce	Adult	92.8043	27.0051	1	1	2	2.1	1
74.0723	1.06201	Amabilis_Fir	Adult	92.7985	29.9172	0	0	0	4.1	4
123.407	152.02	Paper_Birch	Adult	92.7948	29.4185	0	0	1	2.3	4
75.7263	5.23682	Western_Hemlock	Adult	92.7884	29.9171	1	0	0	2.5	2
61.0901	136.792	Amabilis_Fir	Adult	92.6511	29.9164	0	1	0	10.4	3
8.77686	3.38745	Paper_Birch	Adult	92.3648	29.408	0	1	3	4.9	3
49.1455	97.522	Hybrid_Spruce	Adult	92.3273	26.9701	0	0	3	9.8	4
155.176	91.1621	Subalpine_Fir	Adult	92.2083	28.898	0	1	0	6.7	3
93.8354	142.859	Western_Redcedar	Adult	92.1274	29.9081	0	1	5	23.6	3
0.738525	185.51	Trembling_Aspen	Adult	92.1225	28.671	0	0	5	11.8	4
184.625	2.81372	Subalpine_Fir	Adult	92.1042	28.8939	0	0	0	10.3	4
106.055	72.76	Amabilis_Fir	Adult	92.067	29.9133	0	1	0	8.9	3
13.8489	137.787	Hybrid_Spruce	Adult	92.0599	26.9503	1	0	3	3.4	2
154.895	113.556	Hybrid_Spruce	Adult	91.9345	26.941	1	1	3	6.7	1
162.897	56.0791	Western_Hemlock	Adult	91.8817	29.9123	1	0	5	3.2	2
78.5339	168.329	Amabilis_Fir	Adult	91.8478	29.9121	0	0	0	5.6	4
8.70972	47.7356	Paper_Birch	Adult	91.8393	29.3947	0	0	5	14.1	4
182.794	31.9885	Hybrid_Spruce	Adult	91.8341	26.9335	0	0	2	3.3	4
22.7234	54.9805	Black_Cottonwood	Adult	91.752	29.5387	1	0	2	4.6	2
109.076	174.786	Hybrid_Spruce	Adult	91.7136	26.9245	0	1	3	10.5	3
153.912	70.2759	Lodgepole_Pine	Adult	91.6467	29.8309	1	0	2	9.9	2
189.844	136.011	Black_Cottonwood	Adult	91.6418	29.5364	0	0	3	2.1	4
174.805	28.3264	Subalpine_Fir	Adult	91.633	28.8754	0	1	0	1.7	3
109.235	194.061	Western_Redcedar	Adult	91.5887	29.905	0	1	1	22.9	3
197.632	157.861	Black_Cottonwood	Adult	91.5756	29.535	0	1	1	8.1	3
45.343	53.4241	Subalpine_Fir	Adult	91.4664	28.8687	0	1	0	11	3
132.202	119.354	Subalpine_Fir	Adult	91.3208	28.8629	0	0	0	8.9	4
109.741	95.3918	Black_Cottonwood	Adult	91.3141	29.5295	1	1	1	1.8	1
